Date,Open,High,Low,Close,ChangePct,AmplitudePct,Volume,Amount,TurnoverRate,TradeCount
2014-05-23,996.529,1020.38,994.714,1019.619,0.0,0.0,189301600.0,2720560500.0,0.0,128047.0
2014-05-26,1019.562,1031.854,1019.562,1030.397,1.06,1.21,157764190.0,2225564900.0,0.0,111361.0
2014-05-27,1027.305,1030.053,1017.05,1018.571,-1.15,1.26,142983600.0,1967347400.0,0.0,97943.0
2014-05-28,1016.713,1048.109,1016.533,1048.109,2.9,3.1,190334710.0,2602522900.0,0.0,131394.0
2014-05-29,1046.379,1055.046,1032.487,1036.08,-1.15,2.15,179620390.0,2408288100.0,0.0,125590.0
2014-05-30,1036.243,1071.721,1029.759,1067.732,3.05,4.05,228495990.0,3237432000.0,0.0,163227.0
2014-06-03,1066.863,1069.676,1053.276,1053.632,-1.32,1.54,185758870.0,2729505600.0,0.0,126348.0
2014-06-04,1049.358,1049.358,1031.756,1041.891,-1.11,1.67,142140940.0,2024472700.0,0.0,106566.0
2014-06-05,1036.9,1060.992,1032.861,1060.446,1.78,2.7,136938410.0,1930834900.0,0.0,101190.0
2014-06-06,1060.244,1060.748,1039.237,1047.72,-1.2,2.03,123297117.0,1809437600.0,0.0,99989.0
2014-06-09,1041.747,1050.663,1035.795,1037.891,-0.94,1.42,132323301.0,1870501300.0,0.0,96354.0
2014-06-10,1031.882,1053.931,1029.493,1053.553,1.51,2.35,171018600.0,2358772500.0,0.0,120851.0
2014-06-11,1048.184,1055.564,1046.226,1054.702,0.11,0.89,142933330.0,1970431800.0,0.0,102595.0
2014-06-12,1053.869,1064.577,1051.729,1058.489,0.36,1.22,166871510.0,2355714600.0,0.0,116830.0
2014-06-13,1061.21,1074.462,1050.935,1072.73,1.35,2.22,172889120.0,2483420400.0,0.0,124104.0
2014-06-16,1071.559,1086.919,1071.559,1084.773,1.12,1.43,187305200.0,2744110100.0,0.0,130625.0
2014-06-17,1082.702,1082.702,1069.388,1069.931,-1.37,1.23,167442620.0,2483308000.0,0.0,127316.0
2014-06-18,1085.561,1099.417,1080.483,1080.68,1.0,1.77,155470530.0,2101645700.0,0.0,115199.0
2014-06-19,1080.409,1088.392,1031.558,1037.059,-4.04,5.26,193366620.0,2685508200.0,0.0,138612.0
2014-06-20,1037.836,1058.318,1036.634,1057.328,1.95,2.09,137194310.0,1831802600.0,0.0,96491.0
2014-06-23,1060.922,1078.81,1060.211,1074.004,1.58,1.76,151722180.0,2015609700.0,0.0,105717.0
2014-06-24,1070.304,1079.911,1069.463,1079.227,0.49,0.97,138274100.0,1867561100.0,0.0,99501.0
2014-06-25,1079.766,1079.864,1059.948,1062.253,-1.57,1.85,142470640.0,1959304800.0,0.0,105051.0
2014-06-26,1063.218,1093.927,1062.832,1089.437,2.56,2.93,174390300.0,2368328000.0,0.0,123363.0
2014-06-27,1088.451,1110.78,1082.999,1104.243,1.36,2.55,190382470.0,2575606500.0,0.0,133036.0
2014-06-30,1108.449,1153.281,1108.449,1148.814,4.04,4.06,358742610.0,5052200100.0,0.0,227423.0
2014-07-01,1160.458,1160.458,1140.25,1154.558,0.5,1.76,333777760.0,4573691100.0,0.0,224442.0
2014-07-02,1156.693,1192.5,1154.033,1180.85,2.28,3.33,383565560.0,5443027500.0,0.0,263816.0
2014-07-03,1173.764,1176.502,1164.103,1167.162,-1.16,1.05,241844680.0,3375317000.0,0.0,174460.0
2014-07-04,1164.084,1170.292,1153.421,1153.421,-1.18,1.45,204258950.0,2784467100.0,0.0,148020.0
2014-07-07,1158.139,1183.934,1153.001,1177.223,2.06,2.68,352352990.0,4772381900.0,0.0,229219.0
2014-07-08,1178.025,1192.58,1168.233,1190.011,1.09,2.07,342698310.0,4633147200.0,0.0,232920.0
2014-07-09,1183.21,1242.696,1176.434,1202.938,1.09,5.57,540024200.0,7733984600.0,0.0,353895.0
2014-07-10,1197.142,1219.341,1190.853,1194.79,-0.68,2.37,433530560.0,6195504000.0,0.0,287608.0
2014-07-11,1186.74,1215.215,1182.557,1208.729,1.17,2.73,352349290.0,4924634800.0,0.0,240686.0
2014-07-14,1209.995,1214.715,1196.008,1206.081,-0.22,1.55,271970160.0,3809714800.0,0.0,190408.0
2014-07-15,1198.06,1205.391,1170.932,1187.702,-1.52,2.86,322171720.0,4450637200.0,0.0,231630.0
2014-07-16,1178.038,1184.354,1140.841,1142.623,-3.8,3.66,408271910.0,5172353000.0,0.0,263803.0
2014-07-17,1142.84,1151.244,1128.859,1142.83,0.02,1.96,345736000.0,4005355900.0,0.0,195546.0
2014-07-18,1142.601,1151.141,1135.609,1142.206,-0.05,1.36,277537250.0,3218448200.0,0.0,164219.0
2014-07-21,1138.779,1144.075,1115.364,1142.932,0.06,2.51,336081930.0,3958961700.0,0.0,211708.0
2014-07-22,1134.76,1149.027,1130.25,1146.143,0.28,1.64,231484270.0,2733676100.0,0.0,146428.0
2014-07-23,1146.079,1155.748,1122.346,1126.931,-1.68,2.91,281521790.0,3514114300.0,0.0,185120.0
2014-07-24,1123.888,1124.999,1082.068,1111.744,-1.35,3.81,274285550.0,3288804600.0,0.0,182575.0
2014-07-25,1108.532,1120.471,1105.573,1113.967,0.2,1.34,187863620.0,2325195700.0,0.0,128244.0
2014-07-28,1116.884,1141.391,1116.141,1140.755,2.4,2.27,269397180.0,3538317500.0,0.0,179823.0
2014-07-29,1146.801,1166.938,1145.888,1159.224,1.62,1.85,304069150.0,4133990000.0,0.0,204409.0
2014-07-30,1157.843,1184.837,1156.739,1179.758,1.77,2.42,397405140.0,5269362100.0,0.0,253277.0
2014-07-31,1176.274,1185.825,1172.23,1183.353,0.3,1.15,316067680.0,3971592700.0,0.0,195718.0
2014-08-01,1179.802,1184.874,1155.854,1157.375,-2.2,2.45,273672620.0,3564491600.0,0.0,195158.0
2014-08-04,1159.414,1181.073,1159.193,1178.758,1.85,1.89,228811590.0,2850684400.0,0.0,148094.0
2014-08-05,1183.649,1196.776,1171.629,1195.821,1.45,2.13,297405400.0,3657637500.0,0.0,193228.0
2014-08-06,1190.696,1217.459,1186.368,1210.056,1.19,2.6,395285600.0,5576734800.0,0.0,244855.0
2014-08-07,1213.628,1220.946,1195.881,1198.416,-0.96,2.07,325192410.0,4763699200.0,0.0,220859.0
2014-08-08,1202.43,1220.501,1197.337,1215.022,1.39,1.93,303463520.0,4126976500.0,0.0,193523.0
2014-08-11,1221.386,1243.141,1221.154,1242.851,2.29,1.81,334568420.0,4661833800.0,0.0,196115.0
2014-08-12,1249.42,1260.901,1245.75,1254.924,0.97,1.22,399275880.0,5672077100.0,0.0,247944.0
2014-08-13,1251.876,1252.951,1223.013,1250.203,-0.38,2.39,446867470.0,5521447300.0,0.0,264234.0
2014-08-14,1247.404,1262.228,1238.832,1239.189,-0.88,1.87,393113890.0,4974430600.0,0.0,238685.0
2014-08-15,1245.779,1270.675,1243.864,1267.634,2.3,2.16,358441340.0,4854057400.0,0.0,222377.0
