Date,Open,High,Low,Close,Volume
2019-06-12,0.253,0.261,0.253,0.258,108014100
2019-06-13,0.258,0.26,0.254,0.256,30088700
2019-06-14,0.257,0.257,0.247,0.247,27198600
2019-06-17,0.249,0.249,0.243,0.245,14576600
2019-06-18,0.243,0.245,0.242,0.242,36104900
2019-06-19,0.248,0.255,0.248,0.252,45304100
2019-06-20,0.25,0.256,0.249,0.255,33212000
2019-06-21,0.255,0.263,0.255,0.259,39904200
2019-06-24,0.258,0.261,0.257,0.259,26264900
2019-06-25,0.259,0.259,0.252,0.255,22609200
2019-06-26,0.254,0.259,0.253,0.257,23478600
2019-06-27,0.258,0.266,0.258,0.263,48536600
2019-06-28,0.263,0.264,0.256,0.258,26698100
2019-07-01,0.265,0.27,0.263,0.27,45993200
2019-07-02,0.269,0.27,0.264,0.265,32684590
2019-07-03,0.264,0.265,0.26,0.261,29512000
2019-07-04,0.262,0.263,0.257,0.258,28713000
2019-07-05,0.258,0.261,0.258,0.261,28584500
2019-07-08,0.261,0.261,0.249,0.25,47322600
2019-07-09,0.249,0.252,0.248,0.251,27661000
2019-07-10,0.251,0.256,0.251,0.254,34664900
2019-07-11,0.256,0.256,0.249,0.251,26690700
2019-07-12,0.251,0.253,0.249,0.252,25933700
2019-07-15,0.25,0.259,0.248,0.258,49819900
2019-07-16,0.255,0.261,0.255,0.259,27134300
2019-07-17,0.259,0.268,0.259,0.265,50349600
2019-07-18,0.263,0.264,0.259,0.26,49028500
2019-07-19,0.261,0.263,0.26,0.262,56660000
2019-07-22,0.265,0.268,0.252,0.259,251593500
2019-07-23,0.259,0.267,0.258,0.266,114419400
2019-07-24,0.268,0.275,0.267,0.274,87573700
2019-07-25,0.274,0.281,0.274,0.278,70258800
2019-07-26,0.279,0.279,0.275,0.278,52467000
2019-07-29,0.278,0.283,0.278,0.281,66608500
2019-07-30,0.281,0.283,0.277,0.278,45843400
2019-07-31,0.277,0.282,0.277,0.28,84685700
2019-08-01,0.277,0.28,0.275,0.278,62378500
2019-08-02,0.272,0.277,0.27,0.275,83858500
2019-08-05,0.273,0.279,0.271,0.271,65118600
2019-08-06,0.264,0.265,0.256,0.264,100655700
2019-08-07,0.265,0.266,0.258,0.259,57343100
2019-08-08,0.261,0.268,0.26,0.267,171017800
2019-08-09,0.268,0.271,0.261,0.262,78377400
2019-08-12,0.265,0.274,0.262,0.274,121693200
2019-08-13,0.271,0.273,0.269,0.272,72539500
2019-08-14,0.276,0.281,0.273,0.273,76131300
2019-08-15,0.266,0.279,0.264,0.279,133350300
2019-08-16,0.276,0.283,0.276,0.28,69382200
2019-08-19,0.285,0.295,0.283,0.295,86763400
2019-08-20,0.297,0.297,0.292,0.294,92560900
2019-08-21,0.292,0.3,0.291,0.297,77381300
2019-08-22,0.297,0.299,0.292,0.296,54058300
2019-08-23,0.294,0.297,0.29,0.293,77333900
2019-08-26,0.288,0.294,0.286,0.293,88133100
2019-08-27,0.294,0.304,0.294,0.3,88396900
2019-08-28,0.301,0.301,0.297,0.299,51954000
2019-08-29,0.298,0.304,0.297,0.303,57618200
2019-08-30,0.306,0.312,0.301,0.304,114550500
2019-09-02,0.304,0.317,0.302,0.316,113506590
2019-09-03,0.318,0.326,0.315,0.324,133919190
2019-09-04,0.326,0.332,0.323,0.33,151139500
2019-09-05,0.334,0.341,0.328,0.331,137650400
2019-09-06,0.333,0.336,0.325,0.331,138031420
2019-09-09,0.336,0.351,0.334,0.35,189113200
2019-09-10,0.354,0.354,0.337,0.342,194768900
2019-09-11,0.343,0.346,0.337,0.339,159416200
2019-09-12,0.341,0.345,0.339,0.341,119625000
2019-09-16,0.341,0.349,0.338,0.344,132250100
2019-09-17,0.342,0.342,0.328,0.333,179270200
2019-09-18,0.333,0.336,0.327,0.332,112727000
2019-09-19,0.333,0.343,0.332,0.343,148696300
2019-09-20,0.343,0.355,0.343,0.351,214319600
2019-09-23,0.35,0.363,0.347,0.362,231244900
2019-09-24,0.361,0.369,0.36,0.362,206240300
2019-09-25,0.359,0.36,0.343,0.344,278632800
2019-09-26,0.345,0.347,0.325,0.327,333210700
2019-09-27,0.327,0.335,0.327,0.333,189060300
2019-09-30,0.332,0.333,0.323,0.324,179307400
2019-10-08,0.324,0.327,0.315,0.317,122299900
2019-10-09,0.315,0.326,0.314,0.325,191877800
2019-10-10,0.324,0.33,0.323,0.329,148425000
2019-10-11,0.33,0.33,0.321,0.324,169286300
2019-10-14,0.327,0.335,0.326,0.333,202834790
2019-10-15,0.331,0.331,0.322,0.323,174843500
2019-10-16,0.323,0.324,0.318,0.319,127156600
2019-10-17,0.319,0.321,0.317,0.318,96428300
2019-10-18,0.318,0.32,0.309,0.31,145675800
2019-10-21,0.309,0.312,0.303,0.311,124453700
2019-10-22,0.311,0.318,0.311,0.317,132476100
2019-10-23,0.317,0.318,0.313,0.314,103720900
2019-10-24,0.312,0.316,0.308,0.312,128512000
2019-10-25,0.311,0.318,0.308,0.316,174917300
2019-10-28,0.323,0.328,0.319,0.327,200444300
2019-10-29,0.326,0.326,0.319,0.319,128680900
2019-10-30,0.318,0.332,0.317,0.326,258626500
2019-10-31,0.326,0.332,0.325,0.326,181854900
2019-11-01,0.323,0.329,0.322,0.328,113853000
2019-11-04,0.329,0.334,0.327,0.332,149169900
2019-11-05,0.332,0.337,0.329,0.336,164026490
2019-11-06,0.336,0.338,0.327,0.329,173595890
2019-11-07,0.328,0.331,0.327,0.33,112492700
2019-11-08,0.332,0.336,0.331,0.331,153255200
2019-11-11,0.329,0.329,0.322,0.323,117019800
2019-11-12,0.323,0.324,0.315,0.321,137213810
2019-11-13,0.319,0.334,0.319,0.334,226328500
2019-11-14,0.333,0.344,0.332,0.343,201529130
2019-11-15,0.342,0.35,0.34,0.341,180138730
2019-11-18,0.34,0.345,0.338,0.341,102937525
2019-11-19,0.34,0.346,0.337,0.346,135565100
2019-11-20,0.345,0.347,0.339,0.341,130518900
2019-11-21,0.338,0.344,0.337,0.341,121268900
2019-11-22,0.34,0.349,0.328,0.332,284900200
2019-11-25,0.33,0.331,0.317,0.318,253393000
2019-11-26,0.319,0.324,0.318,0.321,159863300
2019-11-27,0.32,0.338,0.319,0.334,316878700
2019-11-28,0.333,0.337,0.331,0.333,167076100
2019-11-29,0.333,0.337,0.329,0.334,175028300
2019-12-02,0.335,0.345,0.332,0.343,241811600
2019-12-03,0.34,0.353,0.338,0.352,357375350
2019-12-04,0.349,0.36,0.349,0.353,348756470
2019-12-05,0.354,0.367,0.352,0.36,281066910
2019-12-06,0.359,0.369,0.358,0.368,233821990
2019-12-09,0.37,0.378,0.37,0.373,220783190
2019-12-10,0.37,0.386,0.366,0.384,228721990
2019-12-11,0.381,0.387,0.376,0.381,211439600
2019-12-12,0.38,0.4,0.38,0.393,247862860
2019-12-13,0.397,0.398,0.385,0.395,275271240
2019-12-16,0.391,0.402,0.39,0.402,245029580
2019-12-17,0.401,0.403,0.397,0.401,182542200
2019-12-18,0.4,0.406,0.397,0.399,155656260
2019-12-19,0.399,0.399,0.389,0.391,196125100
2019-12-20,0.39,0.393,0.386,0.388,152291300
2019-12-23,0.376,0.381,0.371,0.373,288674190
2019-12-24,0.374,0.386,0.372,0.384,263469800
2019-12-25,0.384,0.408,0.383,0.407,404951730
2019-12-26,0.403,0.405,0.398,0.403,288188620
2019-12-27,0.401,0.403,0.389,0.389,351139310
2019-12-30,0.385,0.393,0.376,0.391,307321010
2019-12-31,0.389,0.395,0.386,0.389,256465610
2020-01-02,0.391,0.407,0.389,0.404,366833120
2020-01-03,0.404,0.408,0.398,0.403,255860770
2020-01-06,0.397,0.41,0.397,0.406,299458970
2020-01-07,0.406,0.409,0.402,0.406,210804310
2020-01-08,0.403,0.403,0.395,0.397,282320400
2020-01-09,0.402,0.41,0.399,0.409,295187000
2020-01-10,0.409,0.424,0.408,0.421,379658810
2020-01-13,0.421,0.443,0.417,0.44,426370660
2020-01-14,0.443,0.446,0.435,0.437,257439180
2020-01-15,0.435,0.453,0.433,0.452,396949480
2020-01-16,0.45,0.456,0.448,0.45,338862540
2020-01-17,0.452,0.456,0.447,0.45,265791240
2020-01-20,0.45,0.476,0.45,0.475,540058490
2020-01-21,0.468,0.483,0.466,0.475,701649200
2020-01-22,0.472,0.508,0.465,0.502,777536790
2020-01-23,0.495,0.513,0.476,0.489,1210523510
2020-02-03,0.44,0.448,0.44,0.44,482394480
2020-02-04,0.439,0.466,0.434,0.464,1169792960
2020-02-05,0.462,0.479,0.455,0.463,960343760
2020-02-06,0.456,0.476,0.453,0.475,803668080
2020-02-07,0.474,0.497,0.471,0.497,937962780
2020-02-10,0.493,0.495,0.476,0.484,793508130
2020-02-11,0.484,0.495,0.483,0.488,602090780
2020-02-12,0.486,0.508,0.484,0.507,601929060
2020-02-13,0.506,0.531,0.504,0.522,790791790
2020-02-14,0.521,0.545,0.518,0.526,959920380
2020-02-17,0.53,0.544,0.528,0.543,603339020
